연번,참여대상,운영학기,프로그램명,주제,목적,운영부서,재원,"만족도 점수
 (5점 만점)",수료자
14,교원,1학기,교수법특강,10차 생성형 AI 결합 수업 설계 및 수업 운영 전략," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.4,97
15,교원,1학기,교수법특강,11차 에듀테크를 활용한 수업 디자인 하기," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.2,58
16,교원,2학기,교수법특강,1차 AI를 수업에 활용하는 4가지 접근법 (사례 중심)," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.5,108
17,교원,2학기,교수법특강,2차 요즘 학생들과 통하는 법: Z세대 소통 전략," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.2,167
18,교원,2학기,교수법특강,3차 학생을 움직이는 피드백 전략," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.3,105
19,교원,2학기,교수법특강,4차 ChatGPT를 활용한 자료 분석과 딥리서치 보고서," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.4,60
20,교원,2학기,교수법특강,5차 개척강의상 수상자 강연①,수상자의 우수 강의 사례 및 강의 노하우 공유를 통한 강의 방법 개선,교수학습팀,국립대학육성사업,4.5,91
21,교원,2학기,교수법특강,6차 개척강의상 수상자 강연②,수상자의 우수 강의 사례 및 강의 노하우 공유를 통한 강의 방법 개선,교수학습팀,국립대학육성사업,4.5,89
22,교원,2학기,교수법특강,7차 수업 준비 생산성 향상을 위한 필수 AI툴 활용법," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.6,89
23,교원,2학기,교수법특강,8차 AI 시대의 문제중심학습(PBL): 미래형 수업 설계와 적용," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.5,79
